F,I
879,1242.5625
880,1239.5625
881,1214.6875
882,1162.125
883,1151.1875
884,1073.25
885,948.6875
886,821.3125
887,929.6875
888,1014.375
889,1174.125
890,1297.9375
891,1385.5625
892,1444.875
893,1478.125
894,1433.8125
895,1378.8125
896,1353.5
897,1276.5625
898,1265.4375
899,1196.3125
900,1190.1875
901,1123.1875
902,1067.75
903,914.875
904,909.5625
905,944.625
906,1104.9375
907,1240
908,1376.875
909,1441.4375
910,1446
911,1456
912,1396
913,1366.875
914,1327.375
915,1277.75
916,1239
917,1229.5625
918,1221.5625
919,1177.0625
920,1122.25
921,1035.625
922,839.5625
923,869.375
924,961.75
925,1119
926,1266.125
927,1402.75
928,1446.25
929,1429.8125
930,1403.375
931,1359.25
932,1343.4375
933,1295.5
934,1260
935,1228.5
936,1186.5625
937,1121.3125
938,1050.3125
939,882.625
940,972.4375
941,1082.25
942,1216.0625
943,1379.9375
944,1434.125
945,1433.5
946,1428.3125
947,1419.8125
948,1417.8125
949,1329.5
950,1298.125
951,1259.4375
952,1234.9375
953,1199.125
954,1161
955,1114.8125
956,964.625
957,892.3125
958,964.625
959,1079.375
960,1244.25
961,1359.375
962,1439.75
963,1451.1875
964,1460.4375
965,1407.75
966,1355.5625
967,1304.375
968,1285.5
969,1235.875
970,1225.75
971,1192.5625
972,1200.0625
973,1147.125
974,1117
975,1034.6875
976,899.6875
977,886.5
978,975.9375
979,1132.8125
980,1285.0625
981,1388.8125
982,1439.375
983,1451.75
984,1439.6875
985,1385.8125
986,1331
987,1306
988,1266.8125
989,1250.375
990,1240.0625
991,1181.375
992,1187.25
993,1189.4375
994,1173.3125
995,1159.9375
996,1108.5
997,1033.75
998,891.5625
999,814.0625
1000,914.75
1001,1025.9375
1002,1198.5
1003,1323.8125
1004,1427.5
1005,1434.5625
1006,1424.5625
1007,1370.0625
1008,1305.5625
1009,1312.5625
1010,1279.25
1011,1247.1875
1012,1216.5
1013,1223.6875
1014,1185.5
1015,1153.875
1016,1124.5
1017,1049.875
1018,913.625
1019,872.5
1020,943.8125
1021,1099.0625
1022,1241
1023,1365.0625
1024,1411.9375
1025,1459.0625
1026,1414.25
1027,1376.1875
1028,1335.375
1029,1312.1875
1030,1259.1875
1031,1226.25
1032,1223.8125
1033,1195.75
1034,1144.3125
1035,1081.125
1036,1003.25
1037,873.8125
1038,933.25
1039,1063.75
1040,1210.3125
1041,1354.5
1042,1407.8125
1043,1458.4375
1044,1445.75
1045,1409.3125
1046,1355.1875
1047,1314.0625
1048,1282.125
1049,1266.6875
1050,1234.625
1051,1194.9375
1052,1178.3125
1053,1155.625
1054,1088.9375
1055,952.0625
1056,894.5
1057,956.0625
1058,1094.8125
1059,1259.0625
1060,1394.375
1061,1417.25
1062,1463
1063,1451.25
1064,1419.4375
1065,1365
1066,1316.6875
1067,1290.375
1068,1245.625
1069,1239.0625
1070,1215.75
1071,1218.3125
1072,1168.0625
1073,1094.3125
1074,947.375
1075,890.4375
1076,949.5625
1077,1121.0625
1078,1240
1079,1405
1080,1457.3125
1081,1487.9375
1082,1467.25
1083,1423.0625
1084,1366.5625
1085,1340.25
1086,1293.25
1087,1225.625
1088,1248.8125
1089,1202.125
1090,1168.875
1091,1090.25
1092,1028.25
1093,861.25
1094,896.3125
1095,994.125
1096,1133.375
1097,1308.375
1098,1404.125
1099,1469.625
1100,1445.375
1101,1452.75
1102,1400.5
1103,1357
1104,1293.0625
1105,1275.875
1106,1213.1875
1107,1233.875
1108,1153.9375
1109,1106.8125
1110,969.75
1111,918.375
1112,1030.875
1113,1162.25
1114,1278.125
1115,1405.25
1116,1471.0625
1117,1457.875
1118,1461.5
1119,1425
1120,1360
1121,1331.75
1122,1269.8125
1123,1277.875
1124,1247.875
1125,1201.375
1126,1166.8125
1127,1148.625
1128,1052.875
1129,923.8125
1130,886.875
1131,1017.6875
1132,1129.375
1133,1323.8125
1134,1396
1135,1456.5
1136,1464.3125
1137,1432.875
1138,1377.8125
1139,1347
1140,1296.6875
1141,1279.6875
1142,1239.5625
1143,1215.125
1144,1180.6875
1145,1072.0625
1146,977.9375
1147,884
1148,974.0625
1149,1121.375
1150,1288.375
1151,1376.25
1152,1439.6875
1153,1475.3125
1154,1454
1155,1379.25
1156,1393.6875
1157,1305.8125
1158,1303.4375
1159,1253.5625
1160,1222.5
1161,1208.625
1162,1188.4375
1163,1177.5625
1164,1119.125
1165,1025.3125
1166,903
1167,933.1875
1168,1023.4375
1169,1161.3125
1170,1333.375
1171,1414.625
1172,1471.1875
1173,1476.8125
1174,1427.8125
1175,1385.8125
1176,1361.8125
1177,1295.8125
1178,1272.25
1179,1250.25
1180,1214.625
1181,1200.3125
1182,1149.875
1183,1090.1875
1184,924.75
1185,849.1875
1186,932.375
1187,1047.375
1188,1215.875
1189,1340.0625
1190,1394.375
1191,1445.875
1192,1461.4375
1193,1435.875
1194,1373.375
1195,1306.875
1196,1281.1875
1197,1279.0625
1198,1243.8125
1199,1192.125
1200,1191.6875
1201,1145.875
1202,1072.875
1203,931.25
1204,969.5
1205,1091.125
1206,1260.875
1207,1389.375
1208,1458.25
1209,1430.0625
1210,1446.6875
1211,1411.6875
1212,1355.5625
1213,1350.8125
1214,1269.125
1215,1222.75
1216,1219.25
1217,1219.1875
1218,1193.0625
1219,1129.625
1220,1057.4375
1221,894
1222,927.4375
1223,1034.5625
1224,1183.375
1225,1325.9375
1226,1415.6875
1227,1464.25
1228,1455.25
1229,1430.5625
1230,1377.75
1231,1330.5
1232,1315.3125
1233,1274
1234,1246.5625
1235,1205.5625
1236,1179.6875
1237,1094.75
1238,1012.0625
1239,918.625
1240,1001.25
1241,1108.875
1242,1291.25
1243,1379.5625
1244,1471.875
1245,1470.625
1246,1458.9375
1247,1398.1875
1248,1343.875
1249,1330.875
1250,1277.4375
1251,1268.0625
1252,1245
1253,1233.875
1254,1161.625
1255,1075.125
1256,937
1257,885.4375
