F,I
1397,695.1111
1398,714.7778
1399,738.2222
1400,687.1111
1401,555.5555
1402,433.1111
1403,426.8889
1404,423.8889
1405,472.4445
1406,479.2222
1407,531.2222
1408,606.3333
1409,682.5555
1410,763.5555
1411,778.3333
1412,767.7778
1413,801.6667
1414,553.5555
1415,436.4445
1416,429.5555
1417,430
1418,431.2222
1419,452.6667
1420,503.3333
1421,564
1422,643.6667
1423,683
1424,694.6667
1425,717.2222
1426,713.6667
1427,573.2222
1428,441.1111
1429,404.6667
1430,436.1111
1431,449.1111
1432,483.6667
1433,523.6667
1434,589
1435,613
1436,669
1437,700.2222
1438,749.7778
1439,713
1440,601.8889
1441,449.6667
1442,418.7778
1443,418.3333
1444,464.2222
1445,479.6667
1446,512.6667
1447,576.6667
1448,663.4445
1449,722.6667
1450,719.7778
1451,766
1452,787.8889
1453,645.5555
1454,467.5555
1455,409.3333
1456,418.1111
1457,441
1458,455.6667
1459,504
1460,551
1461,621.7778
1462,651.4445
1463,687.8889
1464,708.2222
1465,711
1466,625.2222
1467,474.7778
1468,407.1111
1469,427.7778
1470,453.1111
1471,464.2222
1472,488.1111
1473,562.1111
1474,627.7778
1475,667.8889
1476,703.6667
1477,724.5555
1478,731.7778
1479,658.3333
1480,482.3333
1481,417.8889
1482,417.2222
1483,403.1111
1484,425.1111
1485,492.1111
1486,560.8889
1487,606.4445
1488,708.3333
1489,765.7778
1490,768.4445
1491,820
1492,729.2222
1493,514.8889
1494,416.3333
1495,420.6667
1496,432.6667
1497,446.4445
1498,479.7778
1499,522.7778
1500,614.5555
1501,647.1111
1502,689.7778
1503,695.8889
1504,722.1111
1505,664.1111
1506,513.2222
1507,435.5555
1508,430
1509,431.2222
1510,469.2222
1511,476.7778
1512,548.2222
1513,620.3333
1514,687.8889
1515,696.1111
1516,697.2222
1517,709.6667
1518,745.6667
1519,566.8889
1520,439
1521,429.5555
1522,398.1111
1523,441.1111
1524,467.3333
1525,520.5555
1526,589
1527,673.5555
1528,712.1111
1529,668.2222
1530,742.4445
1531,704.8889
1532,541.4445
1533,457.2222
1534,428
1535,412.3333
1536,445.2222
1537,479.7778
1538,527.8889
1539,585
1540,654.8889
1541,708.1111
1542,716.7778
1543,730.8889
1544,711
1545,605.2222
1546,459.6667
1547,421.5555
1548,447
1549,461
1550,482.4445
1551,518.8889
1552,576.5555
1553,637.5555
1554,688.3333
1555,693.5555
1556,735.4445
1557,708.6667
1558,650.8889
1559,427.2222
1560,414.6667
1561,417.7778
1562,427.3333
1563,460.3333
1564,491.8889
1565,580.7778
1566,634.6667
1567,785.3333
1568,730.8889
1569,746.4445
1570,763.8889
1571,626.5555
1572,438.4445
1573,427.4445
1574,425.2222
1575,454.4445
1576,447.4445
1577,522.1111
1578,566.7778
1579,647.3333
1580,699.8889
1581,700.5555
1582,750.8889
1583,731.5555
1584,626.5555
1585,471
1586,428.1111
1587,417.7778
1588,448.6667
1589,480.8889
1590,511.6667
1591,567.7778
1592,641.4445
1593,680.6667
1594,693.7778
1595,742.8889
1596,722.1111
1597,681.6667
1598,524.8889
1599,431.4445
1600,415.4445
1601,441.3333
1602,463.8889
1603,480.2222
1604,545.8889
1605,634.2222
1606,652.4445
1607,691.5555
1608,703.5555
1609,743.5555
1610,734.3333
1611,611.5555
1612,427.6667
1613,416.3333
1614,414.8889
1615,464.8889
1616,474.2222
1617,497
1618,569.4445
1619,646
1620,733
1621,711.3333
1622,708.1111
1623,791.5555
1624,600.3333
1625,464.8889
1626,406.7778
1627,422.6667
1628,450.7778
1629,466.4445
1630,504.5555
1631,563.5555
1632,627.1111
1633,660.2222
1634,692.8889
1635,727.3333
1636,722.8889
1637,631.7778
1638,481.7778
1639,425.8889
1640,417.8889
1641,440.3333
1642,494.5555
1643,508.5555
1644,558.8889
1645,623.5555
1646,673.7778
1647,736.4445
1648,762
1649,781.4445
1650,728.6667
1651,522.5555
1652,427.4445
1653,422.5555
1654,433
1655,424.4445
1656,486
1657,528.6667
1658,588.2222
1659,645.8889
1660,694
1661,692
1662,721.2222
1663,686.6667
1664,533.7778
1665,437.5555
1666,407.1111
1667,427.1111
1668,456.5555
1669,487.8889
1670,531.3333
1671,592.6667
1672,634.5555
1673,691.2222
1674,681.8889
1675,724.8889
1676,693.8889
1677,567.5555
1678,429.8889
1679,428.6667
1680,415.5555
1681,457
1682,453.3333
1683,516.4445
1684,611
1685,662.7778
1686,712.1111
1687,711.2222
1688,742.7778
1689,704.3333
1690,581.3333
1691,448.5555
1692,423.6667
1693,445.5555
1694,432.1111
1695,445.5555
1696,513.5555
1697,585.5555
1698,636.2222
1699,666.7778
1700,683.4445
1701,711.4445
1702,695.5555
1703,588.5555
1704,457.7778
1705,421.8889
1706,433.4445
1707,462.8889
1708,472.6667
1709,500.1111
1710,571.3333
1711,638.4445
1712,696.7778
1713,735.7778
1714,769.2222
1715,822.8889
1716,696.8889
1717,499
1718,426.3333
1719,420.3333
1720,442.8889
1721,445
1722,477.5555
1723,537.3333
1724,601.3333
1725,649
1726,717.4445
1727,686.4445
1728,722.7778
1729,687.4445
1730,542
1731,442.2222
1732,424
1733,437
1734,454.3333
1735,471.3333
1736,527.8889
1737,587.6667
1738,651.8889
1739,677.4445
1740,709
1741,739
1742,730.4445
1743,567.8889
1744,448.5555
1745,425.4445
1746,417.4445
1747,448.1111
1748,467.5555
1749,508
1750,549.7778
1751,652.8889
1752,690.1111
1753,708
1754,707.8889
1755,719.2222
1756,611.8889
1757,471
1758,419.7778
1759,435
1760,453
1761,474.8889
1762,523
1763,573.8889
1764,632.6667
1765,708.7778
1766,726.4445
1767,744.2222
1768,728.5555
1769,645
1770,477
1771,421
1772,429.6667
1773,436.3333
1774,447.4445
1775,486.2222
1776,537.2222
1777,594.1111
1778,683.1111
1779,692.6667
1780,688.3333
1781,738.1111
1782,673.5555
1783,506
1784,423.1111
1785,427.6667
1786,455.3333
1787,473.3333
1788,475.4445
1789,529.8889
1790,617.7778
1791,659.6667
1792,685.4445
1793,689.1111
1794,756
1795,733
1796,537.7778
1797,423.8889
1798,423.6667
1799,443.4445
1800,466.5555
1801,466
1802,530.6667
1803,595.2222
1804,663.5555
1805,679
1806,682.5555
1807,727.3333
1808,701.2222
1809,570
1810,431.6667
1811,403.6667
1812,434
1813,452.6667
1814,473.7778
1815,501.4445
1816,590.2222
1817,664.7778
1818,705.2222
1819,700.4445
1820,746
1821,815.6667
1822,732.8889
1823,467.4445
1824,441.6667
1825,431.3333
1826,431.2222
1827,447.4445
1828,487.1111
1829,543
1830,597.2222
1831,678.5555
1832,693.1111
1833,714.6667
1834,744
1835,683
1836,495.4445
1837,416.1111
1838,422.2222
1839,438.1111
1840,463.7778
1841,483.1111
1842,543.4445
1843,586.6667
1844,649
1845,679.2222
1846,720.6667
1847,731.6667
1848,745.8889
1849,572
1850,443
1851,416.3333
1852,399.7778
1853,415
1854,456.8889
1855,498.2222
1856,572
1857,636.8889
1858,706.1111
1859,687.6667
1860,716.3333
1861,717.1111
1862,597.6667
1863,479.3333
1864,422.6667
1865,452.1111
1866,455.5555
1867,467
1868,498.4445
1869,556.2222
1870,621.5555
1871,670
1872,701.7778
1873,718
1874,710.7778
1875,624.8889
1876,486.6667
1877,426.3333
1878,432.6667
1879,459.7778
1880,471.8889
1881,496.8889
1882,545
1883,575.3333
1884,667.7778
1885,730.3333
1886,693.5555
1887,755
1888,718.4445
1889,561.5555
1890,420.5555
1891,422.2222
1892,422.6667
1893,437.5555
1894,470.6667
1895,504.1111
1896,562.1111
1897,643
1898,695.8889
1899,684
1900,746.8889
1901,717.8889
1902,641.1111
1903,480.7778
1904,413.4445
1905,404
1906,412.7778
1907,434.1111
1908,477.7778
1909,566.2222
1910,607.3333
1911,705.4445
1912,770.6667
1913,738.8889
1914,801.8889
1915,698.8889
1916,502.7778
1917,436.4445
1918,429.4445
1919,422.8889
1920,444.5555
1921,479.4445
1922,535.4445
1923,598.2222
1924,635.8889
1925,703.4445
1926,681.6667
1927,720
1928,709
1929,572.7778
1930,443.3333
1931,419.3333
1932,449.1111
1933,447.8889
1934,462
1935,511.6667
1936,564.8889
1937,633.7778
1938,651.8889
1939,683.2222
1940,762.7778
1941,823.6667
1942,771.8889
1943,601.7778
1944,438.6667
1945,403
1946,421
1947,429.1111
1948,433.5555
1949,499.5555
1950,546.5555
1951,616.6667
1952,663.5555
1953,699
1954,710.3333
1955,727.7778
1956,608.6667
1957,486.8889
1958,456.4445
1959,435.1111
1960,445.2222
1961,444.2222
1962,468
1963,528.4445
1964,600.6667
1965,656.6667
1966,688.1111
