Class,Larva,Num_Peaks,Num_RR_Intervals,Mean_RR_ms,Std_RR_ms,Min_RR_ms,Max_RR_ms
2_Atropine 10 µM,Larva 23,1016,1015,295.0,11.328067935562064,275.0,325.0
2_Atropine 10 µM,Larva 24,970,969,309.3137254901961,12.812396741801651,275.0,350.0
2_Atropine 10 µM,Larva 25,1094,1093,274.0164684354986,11.147259480807099,200.0,300.0
2_Atropine 10 µM,Larva 26,1068,1067,280.90440487347706,14.122315099996667,250.0,350.0
2_Atropine 10 µM,Larva 27,1011,1010,296.73267326732673,11.897575332572425,250.0,325.0
2_Atropine 10 µM,Larva 28,1055,1054,284.4639468690702,13.987732833137,250.0,325.0
2_Atropine 10 µM,Larva 29,1050,1049,285.3908484270734,12.888010410464009,225.0,325.0
2_Atropine 100 µM,Larva 01 - 01.04.25,962,961,311.60249739854316,13.177810394412884,275.0,350.0
2_Atropine 100 µM,Larva 02 - 01.04.25,987,986,303.77789046653146,10.63655328254526,275.0,325.0
2_Atropine 100 µM,Larva 03 - 01.04.25,898,897,334.11371237458195,23.60654826055512,150.0,375.0
2_Atropine 100 µM,Larva 04 - 01.04.25,936,935,320.37433155080214,12.098923095102185,300.0,350.0
2_Atropine 100 µM,Larva 05 - 01.04.25,911,910,329.14835164835165,11.950675760353082,300.0,350.0
2_Atropine 100 µM,Larva 06 - 01.04.25,1036,1035,289.4685990338164,12.489908176197858,250.0,325.0
2_Atropine 100 µM,Larva 07 - 01.04.25,1017,1016,294.9803149606299,10.197344407818438,275.0,325.0
2_Atropine 100 µM,Larva 08 - 01.04.25,988,987,303.4954407294833,12.13904288614946,275.0,325.0
2_Atropine 100 µM,Larva 09 - 01.04.25,993,992,302.09173387096774,11.6672036644832,275.0,325.0
2_Atropine 100 µM,Larva 10 - 01.04.25,1016,1015,295.02463054187194,10.46337192099644,275.0,325.0
2_Atropine 100 µM,Larva 11 - 01.04.25,1023,1022,293.2729941291585,11.142065821077257,275.0,325.0
2_Atropine 100 µM,Larva 12 - 06.04.25,1009,1008,297.2470238095238,9.984387170679845,250.0,325.0
2_Atropine 100 µM,Larva 13 - 06.04.25,1048,1047,286.15090735434575,12.522688354643341,250.0,325.0
2_Atropine 100 µM,Larva 14 - 06.04.25,967,966,310.17080745341616,18.917298949772352,175.0,650.0
2_Atropine 100 µM,Larva 15 - 06.04.25,1049,1048,285.8062977099237,12.810780826203283,250.0,300.0
2_Atropine 100 µM,Larva 16 - 06.04.25,1047,1046,286.4005736137667,12.451556594307961,275.0,300.0
2_Atropine 100 µM,Larva 17 - 06.04.25,1003,1002,298.9271457085828,12.566060237677227,250.0,325.0
2_Atropine 100 µM,Larva 18 - 06.04.25,1072,1071,279.6451914098973,10.530519991619334,250.0,300.0
2_Atropine 100 µM,Larva 19 - 06.04.25,1129,1128,265.5585106382979,12.346509337349675,250.0,300.0
2_Atropine 100 µM,Larva 20 - 06.04.25,1005,1004,298.3814741035857,9.81628532531399,275.0,325.0
2_Atropine 100 µM,Larva 21 - 06.04.25,965,964,310.8143153526971,12.797730707170306,225.0,350.0
2_Atropine 100 µM,Larva 22 - 06.04.25,999,998,300.0751503006012,12.833501519458936,275.0,350.0
2_Atropine 100 µM,Larva 23 - 06.04.25,969,968,309.60743801652893,12.423352878431242,275.0,350.0
2_Atropine 100 µM,Larva 24 - 06.04.25,881,880,340.59659090909093,13.284979119151108,300.0,375.0
2_Atropine 100 µM,Larva 25 - 06.04.25,921,920,325.4619565217391,10.184636152721758,300.0,350.0
2_Atropine 100 µM,Larva 26 - 06.04.25,927,926,323.70410367170626,10.17900925336945,300.0,350.0
2_Atropine 100 µM,Larva 27 - 06.04.25,976,975,307.28205128205127,11.747228190139847,275.0,325.0
2_Atropine 100 µM,Larva 28 - 06.04.25,1022,1021,293.2419196865818,11.798140835187093,250.0,325.0
2_Atropine 100 µM,Larva 29 - 06.04.25,947,946,316.59619450317126,11.921153330247368,300.0,350.0
3_Propranolol 1 µM,Larva 01,1000,999,299.974974974975,13.446381652843575,225.0,325.0
3_Propranolol 1 µM,Larva 02,935,934,320.69057815845827,14.752765395605227,275.0,425.0
3_Propranolol 1 µM,Larva 03,1059,1058,283.0812854442344,13.822908079041175,225.0,325.0
3_Propranolol 1 µM,Larva 04,1093,1092,274.496336996337,12.603890081655853,200.0,325.0
3_Propranolol 1 µM,Larva 05,1001,1000,299.65,15.243933219481118,250.0,525.0
3_Propranolol 1 µM,Larva 06,787,786,381.2022900763359,51.16814615076637,300.0,700.0
3_Propranolol 1 µM,Larva 07,1078,1077,278.24976787372333,14.001121205997766,225.0,350.0
3_Propranolol 1 µM,Larva 08,995,994,301.53420523138834,11.901056587950093,275.0,325.0
3_Propranolol 1 µM,Larva 09,1014,1013,295.5083909180652,12.150876888444744,250.0,325.0
3_Propranolol 1 µM,Larva 10,945,944,317.29343220338984,18.29054931247783,275.0,400.0
3_Propranolol 1 µM,Larva 11,880,879,340.9271899886234,16.97449536176054,275.0,400.0
3_Propranolol 1 µM,Larva 12,831,830,360.99397590361446,26.441683273057187,325.0,600.0
3_Propranolol 1 µM,Larva 13,818,817,366.5544675642595,32.52389811860072,325.0,575.0
3_Propranolol 1 µM,Larva 14,765,764,392.14659685863876,38.3371578454207,150.0,525.0
3_Propranolol 1 µM,Larva 15,735,734,407.90190735694824,34.73172656447496,275.0,650.0
3_Propranolol 1 µM,Larva 16,852,851,351.8213866039953,18.489583270024937,325.0,475.0
3_Propranolol 1 µM,Larva 17,974,973,307.8622816032888,13.968601765660228,275.0,350.0
3_Propranolol 1 µM,Larva 18,916,915,327.37704918032784,31.802926593735723,150.0,400.0
3_Propranolol 1 µM,Larva 19,892,891,336.1672278338945,13.40620168451078,300.0,375.0
3_Propranolol 1 µM,Larva 20,877,876,341.95205479452056,13.173065881851162,300.0,375.0
3_Propranolol 1 µM,Larva 21,937,936,320.03205128205127,13.844336003650936,275.0,375.0
3_Propranolol 1 µM,Larva 22,849,848,352.97759433962267,21.70113721621402,325.0,525.0
3_Propranolol 1 µM,Larva 23,940,939,319.3024494142705,18.94496553810501,300.0,600.0
3_Propranolol 1 µM,Larva 24,951,950,315.13157894736844,14.39512171139489,275.0,375.0
3_Propranolol 1 µM,Larva 25,876,875,342.2,69.97869063405761,150.0,625.0
3_Propranolol 1 µM,Larva 26,896,895,334.72067039106145,14.24761736810384,300.0,375.0
3_Propranolol 1 µM,Larva 27,937,936,319.9519230769231,14.267096377217682,275.0,375.0
3_Propranolol 1 µM,Larva 28,973,972,308.179012345679,15.255938999114527,275.0,350.0
3_Propranolol 1 µM,Larva 29,815,814,368.1818181818182,18.659271592166576,325.0,425.0
3_Propranolol 1 µM,Larva 30,805,804,372.4813432835821,19.53357614981354,325.0,500.0
3_Propranolol 1 µM,Larva 31,1173,1172,255.6740614334471,13.809945081840892,225.0,325.0
