F,I
1171,1128.4375
1172,1222.0625
1173,1183.0625
1174,1183.9375
1175,1148.9375
1176,1062.4375
1177,997.0625
1178,947
1179,871.0625
1180,761.75
1181,680.875
1182,704.375
1183,776.3125
1184,835.125
1185,976.625
1186,1036.375
1187,1122.4375
1188,1188.9375
1189,1215
1190,1199.25
1191,1179.875
1192,1063.6875
1193,1015.6875
1194,940.0625
1195,889.5
1196,741.5625
1197,691.125
1198,701.625
1199,792.6875
1200,863.75
1201,946.8125
1202,1071.9375
1203,1112.25
1204,1205.875
1205,1200.875
1206,1198.0625
1207,1154.375
1208,1053.6875
1209,987.125
1210,938.25
1211,837.4375
1212,771.25
1213,692.875
1214,684.3125
1215,763.9375
1216,834.625
1217,941.9375
1218,1038.4375
1219,1148.625
1220,1173.0625
1221,1200.0625
1222,1185.5625
1223,1168.5625
1224,1061.9375
1225,1001
1226,943.625
1227,890.5625
1228,798.875
1229,677.875
1230,697.8125
1231,719.125
1232,827.25
1233,909.0625
1234,1018.375
1235,1121.875
1236,1197.25
1237,1200.5625
1238,1171.125
1239,1175.1875
1240,1074.125
1241,1020.625
1242,963.9375
1243,862
1244,804.1875
1245,731.375
1246,700.3125
1247,704.1875
1248,789.3125
1249,922.125
1250,1009.4375
1251,1077.125
1252,1131.9375
1253,1165.125
1254,1181.0625
1255,1166.0625
1256,1082.5
1257,1015.1875
1258,936.0625
1259,917.1875
1260,868.5
1261,736.375
1262,681.625
1263,725.5
1264,780.625
1265,882.625
1266,988.0625
1267,1082.3125
1268,1138.8125
1269,1160
1270,1193.8125
1271,1211.625
1272,1127
1273,1067.1875
1274,999.125
1275,913.5
1276,885.75
1277,800.0625
1278,685.125
1279,684.4375
1280,749.25
1281,821.5
1282,903.1875
1283,1038.0625
1284,1105.8125
1285,1176.375
1286,1193.5
1287,1200
1288,1194.625
1289,1095.3125
1290,1012.5625
1291,955.875
1292,852.6875
1293,748.125
1294,698.3125
1295,698.4375
1296,776.75
1297,856.3125
1298,958.125
1299,1072.0625
1300,1154.5625
1301,1173.0625
1302,1196.5625
1303,1167.3125
1304,1152.125
1305,1077.1875
1306,984.25
1307,946.3125
1308,892.8125
1309,769.9375
1310,695.125
1311,733.75
1312,780
1313,849.8125
1314,946
1315,1067.9375
1316,1137.875
1317,1212.875
1318,1200.875
1319,1183.1875
1320,1178.25
1321,1088.875
1322,1026.5
1323,929.75
1324,895.0625
1325,795.8125
1326,686.9375
1327,690.125
1328,741.5625
1329,860.875
1330,958.5
1331,1041.3125
1332,1120
1333,1186.5
1334,1208.6875
1335,1202.0625
1336,1151.3125
1337,1086.4375
1338,988.125
1339,934
1340,876.375
1341,813.9375
1342,684.375
1343,729.625
1344,742.1875
1345,846.625
1346,993.25
1347,1076.125
1348,1115.6875
1349,1146.875
1350,1171.0625
1351,1170.25
1352,1102.9375
1353,1034.375
1354,951.4375
1355,923.375
1356,880.375
1357,791.3125
1358,685.4375
1359,704.6875
1360,743.375
1361,851.375
1362,974.875
1363,1052.9375
1364,1149.4375
1365,1182.1875
1366,1178.375
1367,1174.125
1368,1150.4375
1369,1063.3125
1370,983.4375
1371,958.75
1372,894.5
1373,803.375
1374,699.625
1375,697.0625
1376,756.625
1377,845.3125
1378,942.1875
1379,1039.75
1380,1175.8125
1381,1178.5
1382,1206.875
1383,1192.9375
1384,1143.4375
1385,1064.875
1386,1011.75
1387,954.625
1388,907.625
1389,803.6875
1390,703.875
1391,680.3125
1392,759.9375
1393,820.75
1394,925.375
1395,1038.75
1396,1126.5625
1397,1214.5
1398,1206
1399,1195.5625
1400,1160.5
1401,1094.5625
1402,1004.4375
1403,965.8125
1404,863.4375
1405,812.625
1406,686.5625
1407,713.875
1408,779.75
1409,828.6875
1410,946.5
1411,1031.25
1412,1142.5
1413,1199.25
1414,1222.5625
1415,1182.5
1416,1132.25
1417,1067.25
1418,1034.4375
1419,962.3125
1420,886.75
1421,775.9375
1422,702.9375
1423,710.375
1424,765.375
1425,828.8125
1426,971.875
1427,1061.3125
1428,1137.8125
1429,1173
1430,1180.75
1431,1194.25
1432,1159.5
1433,1063.1875
1434,999.6875
1435,957.9375
1436,858.8125
1437,817.25
1438,690.3125
1439,704.125
1440,782
1441,862
1442,972
1443,1086.9375
1444,1160.9375
1445,1184.6875
1446,1210.375
1447,1209.4375
1448,1179.3125
1449,1072.1875
1450,1005.5
1451,933.8125
1452,905.1875
1453,792.3125
1454,692.375
1455,687.125
1456,742.875
1457,811.25
1458,917.625
1459,1025.375
1460,1090.5625
1461,1183.375
1462,1189.625
1463,1189.3125
1464,1186.4375
1465,1095.1875
1466,1025.5
1467,926
1468,891.5
1469,788.0625
1470,708.625
1471,681.9375
1472,751.4375
1473,821.4375
1474,926.1875
1475,1040.25
1476,1096.5625
1477,1160
1478,1188.9375
1479,1190.3125
1480,1128.5625
1481,1034.125
1482,992.5625
1483,928.875
1484,877.5
1485,819
1486,696.3125
1487,699.1875
1488,756.8125
1489,798
1490,911.1875
1491,1004.0625
1492,1117.875
1493,1148.9375
1494,1186.8125
1495,1198.75
1496,1158.5
1497,1094.6875
1498,1009.8125
1499,950.125
1500,888.625
1501,831.5625
1502,731.5625
1503,691.0625
1504,732.6875
1505,801.5625
1506,896.75
1507,1006
1508,1086.75
1509,1174.875
1510,1193.875
1511,1225.625
1512,1185.3125
1513,1085
1514,1007.875
1515,899.5625
1516,892.4375
1517,794.0625
1518,701.5625
1519,671.5625
1520,720.6875
1521,778.1875
1522,879.75
1523,994.625
1524,1093.375
1525,1142.8125
1526,1172.5
1527,1187.125
1528,1161.625
1529,1080.5625
1530,987.3125
1531,921.5
1532,875.75
1533,786.8125
1534,701.8125
1535,688.25
1536,697.75
1537,790.8125
1538,878.5625
1539,987.125
1540,1075.4375
1541,1147.6875
1542,1187.875
1543,1192.9375
1544,1140.0625
1545,1064.75
1546,978.75
1547,939.1875
1548,910.8125
1549,828.375
1550,704.125
1551,656.5
1552,718.875
1553,779.9375
1554,858.25
1555,972.5625
1556,1056.5625
1557,1123.0625
1558,1157.1875
1559,1178.375
1560,1128.25
1561,1075.9375
1562,995.1875
1563,945.1875
1564,887.3125
1565,818.25
1566,709.375
1567,680.8125
1568,673.4375
1569,770.625
1570,851.5
1571,959.6875
1572,1020
1573,1121.0625
1574,1166.6875
1575,1157.1875
1576,1155.375
1577,1127.3125
1578,1013.125
1579,973.625
1580,911.625
1581,859.6875
1582,797.8125
1583,680.75
1584,681.6875
1585,731
1586,801.3125
1587,877.5625
1588,1041.25
1589,1079
1590,1134.1875
1591,1162.625
1592,1137.75
1593,1133.875
1594,1045.125
1595,980.4375
1596,927.9375
1597,871.4375
1598,789.25
1599,703.875
1600,666.3125
1601,724.5
1602,792.8125
1603,874.3125
1604,983.5
1605,1067.8125
1606,1148.4375
1607,1141.0625
1608,1157.4375
1609,1140.125
1610,1051.8125
1611,993.6875
1612,898.375
1613,851.75
1614,733.0625
1615,695.5
1616,688.5
1617,731.3125
1618,847.9375
1619,939
1620,1053
1621,1108.1875
1622,1151.5
1623,1153.8125
1624,1142.1875
1625,1123.4375
1626,1013
1627,919.75
1628,916.9375
1629,867.5625
1630,795.5625
1631,687.875
1632,650.3125
1633,739.375
1634,809.3125
1635,947.8125
1636,997.4375
1637,1106.25
1638,1136.4375
1639,1149.9375
1640,1179.6875
1641,1115.625
1642,1015.9375
1643,945.5625
1644,874.0625
1645,857.3125
1646,764.25
1647,667.1875
1648,663.875
1649,728.8125
1650,809.875
1651,925.8125
1652,1022.3125
1653,1092.9375
1654,1172.4375
1655,1174
1656,1173.1875
1657,1135.75
1658,1023.625
1659,962
1660,909.3125
1661,858.3125
1662,790.0625
1663,680.6875
1664,678.625
1665,747.5
1666,810.5
1667,923.875
1668,978.25
1669,1133.5
1670,1142.125
1671,1205.9375
1672,1152.125
1673,1119.9375
1674,1014.125
1675,952.4375
1676,915.125
1677,871.5
1678,783.9375
1679,690.75
1680,667.0625
1681,724.75
1682,808.375
1683,893.5625
1684,974.5
1685,1053.1875
1686,1142.1875
1687,1187.1875
1688,1162.375
1689,1146.8125
1690,1064.75
1691,995.1875
1692,928.8125
1693,888.0625
1694,808
1695,736.875
1696,669.1875
1697,709.75
1698,753.25
1699,839
1700,950.875
1701,1061.625
1702,1117.3125
1703,1182.75
1704,1179.5625
1705,1176.125
1706,1091.8125
1707,1013.5
1708,934.9375
1709,879.75
1710,826.0625
1711,691.0625
1712,667.9375
1713,710.6875
1714,783.25
1715,850.375
1716,969.9375
1717,1073.25
1718,1132.375
1719,1164.25
1720,1243.5
1721,1148.125
1722,1088.125
1723,983.1875
1724,912.625
1725,869.0625
1726,830.75
1727,716.125
1728,692.8125
1729,728.5625
1730,791.375
1731,882.9375
1732,976.75
1733,1058.0625
1734,1120.5
1735,1186.8125
1736,1175.3125
1737,1156.625
1738,1076.8125
1739,1006.375
1740,954.75
1741,901.5
1742,861.75
1743,828.8125
1744,702.8125
1745,680.75
1746,718.4375
1747,788.625
1748,881.625
1749,968.8125
1750,1092.75
1751,1126.4375
1752,1195.25
1753,1174.8125
1754,1181.1875
1755,1055.25
1756,988.25
1757,947.4375
1758,895.625
1759,839
1760,709.5625
1761,676.625
1762,729.375
1763,784.1875
1764,888.125
1765,993.3125
1766,1091
1767,1154.5
1768,1162.25
1769,1171.5625
1770,1142.5
1771,1085.1875
1772,995.375
1773,950.875
1774,878.375
1775,802.6875
1776,712.25
1777,674.6875
1778,713.9375
1779,764.0625
1780,858.875
1781,986.4375
1782,1081.625
1783,1142
1784,1191.125
1785,1192.3125
1786,1174
1787,1069.375
1788,1007.1875
1789,934
1790,911.4375
1791,846.9375
1792,736.0625
1793,665.5
1794,696.6875
1795,738.5
1796,829.75
1797,946.8125
1798,1027.625
1799,1105.25
1800,1149.6875
1801,1186.8125
1802,1164.8125
1803,1134.25
1804,1015.4375
1805,974.6875
1806,921.0625
1807,904.3125
1808,775.9375
1809,689.3125
1810,670.4375
1811,753.875
1812,811.625
1813,907.6875
1814,1032.0625
1815,1133.6875
1816,1176.4375
1817,1196.5
1818,1200.6875
1819,1148.5625
1820,1065.375
1821,983.0625
1822,964.125
1823,902.125
1824,874.5
1825,760.375
1826,698.875
1827,685.875
1828,740.75
1829,865.625
1830,939.9375
1831,1026.5
1832,1114.8125
1833,1184.875
1834,1193.5
1835,1157.0625
1836,1125.0625
1837,1038.125
1838,960.5
1839,925.625
1840,891.5625
1841,821.1875
1842,715.4375
1843,678.5
1844,737.125
1845,809.875
1846,920.25
1847,1047.375
1848,1122.6875
1849,1170.1875
1850,1191.875
1851,1189.6875
1852,1170.1875
1853,1071.375
1854,995.75
1855,991.9375
1856,945.25
1857,878.8125
1858,839.25
1859,709.5625
1860,653.1875
1861,729.5625
1862,779
1863,878.5625
1864,963.8125
1865,1062.375
1866,1123.125
1867,1143.25
1868,1153.0625
1869,1170.125
1870,1060.5
1871,1006.875
1872,922.3125
1873,896.1875
1874,821.75
1875,722.1875
